## RECSRecommendations Upload File
## RECS''## RECS'' indicates a Recommendations pre-process header. Please do not remove these lines.
## RECS
## RECSUse this file to upload product display information to Recommendations. Each product has its own row. Each line must contain 19 values and if not all are filled a space should be left.
## RECSThe last 100 columns (entity.custom1 - entity.custom100) are custom. The name 'customN' can be replaced with a custom name such as 'onSale' or 'brand'.
## RECSIf the products already exist in Recommendations then changes uploaded here will override the data in Recommendations. Any new attributes entered here will be added to the product''s entry in Recommendations.
## RECSentity.id,entity.name,entity.categoryId,entity.message,entity.thumbnailUrl,entity.value,entity.pageUrl,entity.inventory,entity.margin,entity.gratuito,entity.subtema,entity.assuntos,entity.tiposolucao,entity.perfilusuario,entity.porteempresa,entity.segmentos,entity.familia,entity.produtor,entity.publicoalvo
1,Aprenda como fazer a declaração anual do MEI,Leis, ,https://bibliotecas.sebrae.com.br/chronus/ARQUIVOS_CHRONUS/NAPALMADAMAO/CAPAS_INDIVIDUAIS/82672169-fd82-3f47-93e8-2c5e5dfe293b.png,0,"https://sebrae.com.br/sites/PortalSebrae/ufs/ap/artigos/como-fazer-a-declaracao-anual-do-mei,944c95f326b66410VgnVCM1000003b74010aRCRD?utm_source=appna",Conteúdos, ,Sim,Legislação do MEI,Legislação; MEI,Artigo,Sou Empreendedor,MEI,TODOS,Faça,Sebrae Nacional,MEI
2, Planilha em Excel para auxiliar na construção do fluxo de caixa,Finanças, ,https://bibliotecas.sebrae.com.br/chronus/ARQUIVOS_CHRONUS/NAPALMADAMAO/CAPAS_INDIVIDUAIS/fb0d196a-6849-3f8c-9f8c-067252ff0209.jpg,0,"https://sebrae.com.br/sites/PortalSebrae/artigos/artigoshome/planilha-ajuda-a-fazer-fluxo-de-caixa-da-sua-empresa,adf8d53342603410VgnVCM100000b272010aRCRD?utm_source=appna",Conteúdos, ,Sim,Controles Financeiros,Finanças; Planejamento;,Artigo,Sou Empreendedor,ME,TODOS,Faça,Sebrae Nacional,ME
3,"Mercado, como analisar meu concorrente",Mercado e Vendas, ,https://bibliotecas.sebrae.com.br/chronus/ARQUIVOS_CHRONUS/NAPALMADAMAO/CAPAS_INDIVIDUAIS/fb0d196a-6849-3f8c-9f8c-067252ff0209.jpg,0,"https://sebrae.com.br/sites/PortalSebrae/ufs/ap/artigos/como-fazer-a-declaracao-anual-do-mei,944c95f326b66410VgnVCM1000003b74010aRCRD?utm_source=appna",Conteúdos, ,Sim,Pesquisa de Mercado,Concorrentes; Análise; Planejamento,Artigo,Sou Empreendedor,EPP,TODOS,Faça,Sebrae Nacional,EPP
4,Como ter foco e ser mais produtivo,Empreendedorismo, ,https://bibliotecas.sebrae.com.br/chronus/ARQUIVOS_CHRONUS/NAPALMADAMAO/CAPAS_INDIVIDUAIS/cfe4a57c-2ea2-36c0-a153-29a046dfe789.jpg,0,"https://sebrae.com.br/sites/PortalSebrae/artigos/como-ter-foco-e-ser-mais-produtivo,2bcd62358cde4810VgnVCM100000d701210aRCRD?utm_source=appna",Conteúdos, ,Sim,Comportamento Empreendedor,Organização; Planejamento,Artigo,Sou Empreendedor,ME,TODOS,Seja,Sebrae Nacional,ME
5,Como conseguir apoio para desenvolver seu projeto de inovação,Inovação, ,https://bibliotecas.sebrae.com.br/chronus/ARQUIVOS_CHRONUS/NAPALMADAMAO/CAPAS_INDIVIDUAIS/5583f178-32e0-301d-9ceb-618d50bcc9f5.jpg,0,"https://sebrae.com.br/sites/PortalSebrae/artigos/como-conseguir-aporte-financeiro-para-seu-projeto-de-inovacao,a8c3a27e0206c510VgnVCM1000004c00210aRCRD?utm_source=appna",Conteúdos, ,Sim,Transformação Digital,Inovação; Fomento,Artigo,Sou Startup,MEI,TIC,Faça,Sebrae Nacional,MEI
6,Exportação para pequenas empresas,Mercado e Vendas, ,https://bibliotecas.sebrae.com.br/chronus/ARQUIVOS_CHRONUS/NAPALMADAMAO/CAPAS_INDIVIDUAIS/e4b48079-3f9c-3551-9ffb-4f20ec0cda32.png,0,https://www.youtube.com/watch?v=hm6UxAbHkXg,Conteúdos, ,Sim,Exportação,Internacionalização,Vídeo,Sou Empreendedor,ME,TODOS,Alcance,Sebrae Nacional,ME
7,O futuro do MEI: como inovar e acompanhar as mudanças do mercado,Inovação, ,https://bibliotecas.sebrae.com.br/chronus/ARQUIVOS_CHRONUS/NAPALMADAMAO/CAPAS_INDIVIDUAIS/8a548ab4-aadd-302d-90b1-127cde81ff60.jpg,0,https://www.youtube.com/live/j2kBnhPsOQk,Conteúdos, ,Sim,Gestão da Inovação,Inovação,Vídeo,Sou Empreendedor,MEI,TODOS,Comece,Sebrae Nacional,MEI
8,Como vender mais com pouco investimento: estratégias simples para o MEI,Mercado e Vendas, ,https://bibliotecas.sebrae.com.br/chronus/ARQUIVOS_CHRONUS/NAPALMADAMAO/CAPAS_INDIVIDUAIS/2cf87efe-e01f-3fd4-9a9b-8c3f98ff7ace.jpg,0,https://www.youtube.com/live/Ig4sT67bkBk,Conteúdos, ,Sim,Vendas,Venda,Vídeo,Sou Empreendedor,MEI,TODOS,Comece,Sebrae Nacional,MEI
9,Domine o mundo digital,Inovação, ,https://bibliotecas.sebrae.com.br/chronus/ARQUIVOS_CHRONUS/NAPALMADAMAO/CAPAS_INDIVIDUAIS/cc990c0c-4a6a-3bc7-9489-5f9efd224311.jpg,0,https://www.youtube.com/watch?v=C7rSA9PiKLE,Conteúdos, ,Sim,Transformação Digital,Internet,Vídeo,Sou Empreendedor,ME,TODOS,Faça,Sebrae Nacional,ME
10,Dicas para aprimorar sua gestão financeira,Finanças, ,https://bibliotecas.sebrae.com.br/chronus/ARQUIVOS_CHRONUS/NAPALMADAMAO/CAPAS_INDIVIDUAIS/2c62b5e8-f5f2-3579-af70-5f5aaf81100a.jpg,0,https://www.youtube.com/watch?v=nZEl2WTnehM,Conteúdos, ,Sim,Gestão Financeira,Finanças,Vídeo,Sou Empreendedor,ME,TODOS,Faça,Sebrae Nacional,ME
